player_id,season,appearances,minutes_played,goals,assists,yellow_cards,red_cards,name,date_of_birth,sub_position,position,foot,height_in_cm,age_at_season_end,market_value_eur
145466,2022,33,2900,1,0,2,0,Tim Ream,1987-10-05,Centre-Back,Defender,left,186.0,35.73442847364819,1000000.0
145988,2022,27,2294,7,2,5,0,Wilfried Zaha,1992-11-10,Left Winger,Attack,right,180.0,30.633812457221083,22000000.0
146795,2022,8,311,0,0,1,0,Ryan Fraser,1994-02-24,Left Winger,Attack,right,163.0,29.34428473648186,6000000.0
148153,2022,36,3240,1,0,4,0,Lewis Dunk,1991-11-21,Centre-Back,Defender,right,192.0,31.60574948665298,16000000.0
148252,2022,28,2165,0,0,4,0,Remo Freuler,1992-04-15,Central Midfield,Midfield,right,181.0,31.20602327173169,8000000.0
148367,2022,22,1770,1,4,6,0,Christian Nørgaard,1994-03-10,Defensive Midfield,Midfield,right,187.0,29.305954825462013,16000000.0
148455,2022,38,3297,19,12,2,0,Mohamed Salah,1992-06-15,Right Winger,Attack,left,175.0,31.039014373716633,65000000.0
156501,2022,16,1419,0,1,4,0,Felipe,1989-05-16,Centre-Back,Defender,right,190.0,34.12183436002738,2000000.0
157506,2022,34,2547,3,1,7,0,Jeffrey Schlupp,1992-12-23,Left Midfield,Midfield,left,178.0,30.5160848733744,7000000.0
157509,2022,25,1990,2,0,0,0,Kurt Zouma,1994-10-27,Centre-Back,Defender,right,190.0,28.673511293634498,22000000.0
157672,2022,27,2139,0,1,5,0,Vladimír Coufal,1992-08-22,Right-Back,Defender,right,175.0,30.85284052019165,9000000.0
160438,2022,5,111,0,0,0,0,Mohamed Elneny,1992-07-11,Defensive Midfield,Midfield,right,179.0,30.967830253251197,6000000.0
162029,2022,4,34,0,0,0,0,Javier Manquillo,1994-05-05,Right-Back,Defender,right,178.0,29.152635181382614,2500000.0
163744,2022,17,1218,0,0,3,0,Jack Stephens,1994-01-27,Centre-Back,Defender,right,185.0,29.420944558521562,3500000.0
164770,2022,24,1917,0,0,1,0,Raphaël Varane,1993-04-25,Centre-Back,Defender,right,191.0,30.17932922655715,35000000.0
167799,2022,35,3133,4,5,5,0,Pierre-Emile Højbjerg,1995-08-05,Defensive Midfield,Midfield,right,185.0,27.901437371663246,45000000.0
168157,2022,24,902,0,0,0,0,Leander Dendoncker,1995-04-15,Defensive Midfield,Midfield,right,188.0,28.20807665982204,15000000.0
170646,2022,3,75,0,0,1,0,Ludwig Augustinsson,1994-04-21,Left-Back,Defender,left,181.0,29.190965092402465,2500000.0
170934,2022,19,1303,0,1,4,0,Mario Lemina,1993-09-01,Defensive Midfield,Midfield,right,184.0,29.82614647501711,10000000.0
171424,2022,30,1924,5,10,2,0,Riyad Mahrez,1991-02-21,Right Winger,Attack,left,179.0,32.35318275154004,20000000.0
171679,2022,12,668,1,0,0,0,Matt Doherty,1992-01-16,Right-Back,Defender,right,185.0,31.45242984257358,5000000.0
173504,2022,38,3420,1,1,6,0,James Tarkowski,1992-11-19,Centre-Back,Defender,right,185.0,30.60917180013689,18000000.0
174094,2022,2,10,0,0,0,0,Morgan Sanson,1994-08-18,Central Midfield,Midfield,right,180.0,28.865160848733744,6000000.0
175446,2022,18,1262,1,0,3,1,Jonny Otto,1994-03-03,Right-Back,Defender,both,175.0,29.32511978097194,13000000.0
175722,2022,33,2816,2,1,4,0,Eric Dier,1994-01-15,Centre-Back,Defender,right,191.0,29.453798767967147,18000000.0
176553,2022,12,993,0,0,0,0,Aymeric Laporte,1994-05-27,Centre-Back,Defender,left,191.0,29.09240246406571,25000000.0
177476,2022,26,1877,1,0,2,0,Nathan Aké,1995-02-18,Centre-Back,Defender,left,180.0,28.361396303901437,42000000.0
177907,2022,16,762,0,0,4,0,Harry Maguire,1993-03-05,Centre-Back,Defender,right,194.0,30.31895961670089,20000000.0
181579,2022,38,3372,9,4,6,0,James Ward-Prowse,1994-11-01,Central Midfield,Midfield,right,177.0,28.659822039698838,38000000.0
181778,2022,22,1322,1,0,2,0,Emerson,1994-08-03,Left-Back,Defender,left,176.0,28.906228610540726,12000000.0
182712,2022,17,1278,2,1,3,1,João Cancelo,1994-05-27,Right-Back,Defender,right,182.0,29.09240246406571,50000000.0
182877,2022,21,980,6,2,0,0,Anthony Martial,1995-12-05,Centre-Forward,Attack,right,184.0,27.567419575633128,15000000.0
182904,2022,26,2027,0,2,3,0,Clément Lenglet,1995-06-17,Centre-Back,Defender,left,186.0,28.035592060232716,10000000.0
183288,2022,31,2556,1,2,8,0,Luke Shaw,1995-07-12,Left-Back,Defender,left,178.0,27.967145790554415,42000000.0
183293,2022,20,1016,0,1,1,0,Joe Rothwell,1995-01-11,Central Midfield,Midfield,right,185.0,28.465434633812457,4000000.0
183302,2022,7,284,0,0,1,0,Ben Pearson,1995-01-04,Central Midfield,Midfield,right,176.0,28.484599589322382,2200000.0
183318,2022,7,214,0,0,2,0,Jamaal Lascelles,1993-11-11,Centre-Back,Defender,right,188.0,29.631759069130734,4500000.0
183321,2022,6,141,0,1,1,0,Kevin Mbabu,1995-04-19,Right-Back,Defender,right,184.0,28.197125256673512,3500000.0
